city	zip	municipality
Ada	24430	Ada
Aleksinac	18220	Aleksinac
Alibunar	26310	Alibunar
Apatin	25260	Apatin
Aranđelovac	34300	Aranđelovac
Arilje	31230	Arilje
Babušnica	18330	Babušnica
Bajina Bašta	31250	Bajina Bašta
Batočina	34227	Batočina
Bač	21420	Bač
Bačka Palanka	21400	Bačka Palanka
Bačka Topola	24300	Bačka Topola
Bački Petrovac	21470	Bački Petrovac
Bela Crkva	26340	Bela Crkva
Bela Palanka	18310	Bela Palanka
Beočin	21300	Beočin
Bečej	21220	Bečej
Blace	18420	Blace
Bogatić	15350	Bogatić
Bojnik	16205	Bojnik
Boljevac	19370	Boljevac
Bor	19210	Bor
Brus	37220	Brus
Bujanovac	17520	Bujanovac
Crna Trava	16215	Crna Trava
Despotovac	35213	Despotovac
Medveđa	35224	Despotovac
Dimitrovgrad	18320	Dimitrovgrad
Doljevac	18410	Doljevac
Gadžin Han	18240	Gadžin Han
Golubac	12223	Golubac
Gornji Milanovac	32300	Gornji Milanovac
Inđija	22320	Inđija
Irig	22406	Irig
Ivanjica	32250	Ivanjica
Jagodina	35000	Jagodina
Kanjiža	24420	Kanjiža
Kikinda	23300	Kikinda
Kladovo	19320	Kladovo
Knić	34240	Knić
Knjaževac	19350	Knjaževac
Koceljeva	15220	Koceljeva
Kosjerić	31260	Kosjerić
Kovačica	26210	Kovačica
Kovin	26220	Kovin
Kraljevo	36000	Kraljevo
Bela Crkva	15313	Krupanj
Krupanj	15314	Krupanj
Kruševac	37000	Kruševac
Kula	25230	Kula
Kuršumlija	18430	Kuršumlija
Rača	18440	Kuršumlija
Kučevo	12240	Kučevo
Lajkovac	14224	Lajkovac
Lapovo	34221	Lapovo
Lebane	16230	Lebane
Leskovac	16000	Leskovac
Ljig	14240	Ljig
Ljubovija	15320	Ljubovija
Loznica	15300	Loznica
Lučani	32240	Lučani
Majdanpek	19250	Majdanpek
Mali Iđoš	24321	Mali Iđoš
Mali Zvornik	15318	Mali Zvornik
Malo Crniće	12311	Malo Crniće
Medveđa	16240	Medveđa
Merošina	18252	Merošina
Mionica	14242	Mionica
Negotin	19300	Negotin
Nova Crnja	23218	Nova Crnja
Nova Varoš	31320	Nova Varoš
Novi Bečej	23272	Novi Bečej
Novi Kneževac	23330	Novi Kneževac
Novi Pazar	36300	Novi Pazar
Novi Sad	21101	Novi Sad
Odžaci	25250	Odžaci
Opovo	26204	Opovo
Osečina	14253	Osečina
Pančevo	26000	Pančevo
Paraćin	35250	Paraćin
Pećinci	22410	Pećinci
Plandište	26360	Plandište
Požarevac	12000	Požarevac
Požega	31210	Požega
Preševo	17523	Preševo
Priboj	31330	Priboj
Prijepolje	31300	Prijepolje
Prokuplje	18400	Prokuplje
Velika Plana	18403	Prokuplje
Raška	36350	Raška
Ražanj	37215	Ražanj
Rekovac	35260	Rekovac
Ruma	22400	Ruma
Senta	24400	Senta
Sečanj	23240	Sečanj
Sjenica	36310	Sjenica
Smederevo	11300	Smederevo
Smederevska Palanka	11420	Smederevska Palanka
Sokobanja	18230	Sokobanja
Sombor	25101	Sombor
Srbobran	21480	Srbobran
Sremska Mitrovica	22000	Sremska Mitrovica
Sremski Karlovci	21205	Sremski Karlovci
Stara Pazova	22300	Stara Pazova
Subotica	24000	Subotica
Surdulica	17530	Surdulica
Svilajnac	35210	Svilajnac
Svrljig	18360	Svrljig
Temerin	21235	Temerin
Titel	21240	Titel
Topola	34310	Topola
Trgovište	17525	Trgovište
Trstenik	37240	Trstenik
Medveđa	37244	Trstenik
Tutin	36320	Tutin
Ub	14210	Ub
Užice	31000	Užice
Valjevo	14000	Valjevo
Varvarin	37260	Varvarin
Velika Plana	11320	Velika Plana
Veliko Gradište	12220	Veliko Gradište
Vladimirci	15225	Vladimirci
Vladičin Han	17510	Vladičin Han
Vlasotince	16210	Vlasotince
Vranje	17501	Vranje
Vrbas	21460	Vrbas
Vrnjačka Banja	36210	Vrnjačka Banja
Vršac	26300	Vršac
Zaječar	19000	Zaječar
Zrenjanin	23101	Zrenjanin
Ćićevac	37210	Ćićevac
Ćuprija	35230	Ćuprija
Čajetina	31310	Čajetina
Čačak	32101	Čačak
Čoka	23320	Čoka
Šabac	15000	Šabac
Šid	22239	Šid
Žabalj	21230	Žabalj
Žabari	12374	Žabari
Žagubica	12320	Žagubica
Žitište	23210	Žitište
Žitorađa	18412	Žitorađa
