wordform	lemma	msd
Abadžija	Abadžija	Npfpa
Abadžija	Abadžija	Npfpd
Abadžija	Abadžija	Npfpg
Abadžija	Abadžija	Npfpi
Abadžija	Abadžija	Npfpl
Abadžija	Abadžija	Npfpn
Abadžija	Abadžija	Npfpv
Abadžija	Abadžija	Npfsa
Abadžija	Abadžija	Npfsd
Abadžija	Abadžija	Npfsg
Abadžija	Abadžija	Npfsi
Abadžija	Abadžija	Npfsl
Abadžija	Abadžija	Npfsn
Abadžija	Abadžija	Npfsv
Abadžije	Abadžija	Npmpa
Abadžijima	Abadžija	Npmpd
Abadžija	Abadžija	Npmpg
Abadžijima	Abadžija	Npmpi
Abadžijima	Abadžija	Npmpl
Abadžije	Abadžija	Npmpn
Abadžije	Abadžija	Npmpv
Abadžiju	Abadžija	Npmsay
Abadžiji	Abadžija	Npmsd
Abadžije	Abadžija	Npmsg
Abadžijom	Abadžija	Npmsi
Abadžiji	Abadžija	Npmsl
Abadžija	Abadžija	Npmsn
Abadžija	Abadžija	Npmsv
Abadžijo	Abadžija	Npmsv
Abadžić	Abadžić	Npfpa
Abadžić	Abadžić	Npfpd
Abadžić	Abadžić	Npfpg
Abadžić	Abadžić	Npfpi
Abadžić	Abadžić	Npfpl
Abadžić	Abadžić	Npfpn
Abadžić	Abadžić	Npfpv
Abadžić	Abadžić	Npfsa
Abadžić	Abadžić	Npfsd
Abadžić	Abadžić	Npfsg
Abadžić	Abadžić	Npfsi
Abadžić	Abadžić	Npfsl
Abadžić	Abadžić	Npfsn
Abadžić	Abadžić	Npfsv
Abadžiće	Abadžić	Npmpa
Abadžićima	Abadžić	Npmpd
Abadžića	Abadžić	Npmpg
Abadžićima	Abadžić	Npmpi
Abadžićima	Abadžić	Npmpl
Abadžići	Abadžić	Npmpn
Abadžići	Abadžić	Npmpv
Abadžića	Abadžić	Npmsay
Abadžiću	Abadžić	Npmsd
Abadžića	Abadžić	Npmsg
Abadžićem	Abadžić	Npmsi
Abadžiću	Abadžić	Npmsl
Abadžić	Abadžić	Npmsn
Abadžiću	Abadžić	Npmsv
Abazović	Abazović	Npfpa
Abazović	Abazović	Npfpd
Abazović	Abazović	Npfpg
Abazović	Abazović	Npfpi
Abazović	Abazović	Npfpl
Abazović	Abazović	Npfpn
Abazović	Abazović	Npfpv
Abazović	Abazović	Npfsa
Abazović	Abazović	Npfsd
Abazović	Abazović	Npfsg
Abazović	Abazović	Npfsi
Abazović	Abazović	Npfsl
Abazović	Abazović	Npfsn
Abazović	Abazović	Npfsv
Abazoviće	Abazović	Npmpa
Abazovićima	Abazović	Npmpd
Abazovića	Abazović	Npmpg
Abazovićima	Abazović	Npmpi
Abazovićima	Abazović	Npmpl
Abazovići	Abazović	Npmpn
Abazovići	Abazović	Npmpv
Abazovića	Abazović	Npmsay
Abazoviću	Abazović	Npmsd
Abazovića	Abazović	Npmsg
Abazovićem	Abazović	Npmsi
Abazoviću	Abazović	Npmsl
Abazović	Abazović	Npmsn
Abazović	Abazović	Npmsv
Abazoviću	Abazović	Npmsv
Abramić	Abramić	Npfpa
Abramić	Abramić	Npfpd
Abramić	Abramić	Npfpg
Abramić	Abramić	Npfpi
Abramić	Abramić	Npfpl
Abramić	Abramić	Npfpn
Abramić	Abramić	Npfpv
Abramić	Abramić	Npfsa
Abramić	Abramić	Npfsd
Abramić	Abramić	Npfsg
Abramić	Abramić	Npfsi
Abramić	Abramić	Npfsl
Abramić	Abramić	Npfsn
Abramić	Abramić	Npfsv
Abramiće	Abramić	Npmpa
Abramićima	Abramić	Npmpd
Abramića	Abramić	Npmpg
Abramićima	Abramić	Npmpi
Abramićima	Abramić	Npmpl
Abramići	Abramić	Npmpn
Abramići	Abramić	Npmpv
Abramića	Abramić	Npmsay
Abramiću	Abramić	Npmsd
Abramića	Abramić	Npmsg
Abramićem	Abramić	Npmsi
Abramiću	Abramić	Npmsl
Abramić	Abramić	Npmsn
Abramiću	Abramić	Npmsv
Abramović	Abramović	Npfpa
Abramović	Abramović	Npfpd
Abramović	Abramović	Npfpg
Abramović	Abramović	Npfpi
Abramović	Abramović	Npfpl
Abramović	Abramović	Npfpn
Abramović	Abramović	Npfpv
Abramović	Abramović	Npfsa
Abramović	Abramović	Npfsd
Abramović	Abramović	Npfsg
Abramović	Abramović	Npfsi
Abramović	Abramović	Npfsl
Abramović	Abramović	Npfsn
Abramović	Abramović	Npfsv
Abramoviće	Abramović	Npmpa
Abramovićima	Abramović	Npmpd
Abramovića	Abramović	Npmpg
Abramovićima	Abramović	Npmpi
Abramovićima	Abramović	Npmpl
Abramovići	Abramović	Npmpn
Abramovići	Abramović	Npmpv
Abramovića	Abramović	Npmsay
Abramoviću	Abramović	Npmsd
Abramovića	Abramović	Npmsg
Abramovićem	Abramović	Npmsi
Abramoviću	Abramović	Npmsl
Abramović	Abramović	Npmsn
Abramović	Abramović	Npmsv
Abramoviću	Abramović	Npmsv
Abrašević	Abrašević	Npfpa
Abrašević	Abrašević	Npfpd
Abrašević	Abrašević	Npfpg
Abrašević	Abrašević	Npfpi
Abrašević	Abrašević	Npfpl
Abrašević	Abrašević	Npfpn
Abrašević	Abrašević	Npfpv
Abrašević	Abrašević	Npfsa
Abrašević	Abrašević	Npfsd
Abrašević	Abrašević	Npfsg
Abrašević	Abrašević	Npfsi
Abrašević	Abrašević	Npfsl
Abrašević	Abrašević	Npfsn
Abrašević	Abrašević	Npfsv
Abraševiće	Abrašević	Npmpa
Abraševićima	Abrašević	Npmpd
Abraševića	Abrašević	Npmpg
Abraševićima	Abrašević	Npmpi
Abraševićima	Abrašević	Npmpl
Abraševići	Abrašević	Npmpn
Abraševići	Abrašević	Npmpv
Abraševića	Abrašević	Npmsay
Abraševiću	Abrašević	Npmsd
Abraševića	Abrašević	Npmsg
Abraševićem	Abrašević	Npmsi
Abraševiću	Abrašević	Npmsl
Abrašević	Abrašević	Npmsn
Abrašević	Abrašević	Npmsv
Abraševiću	Abrašević	Npmsv
Acu	Aca	Npmsay
Aci	Aca	Npmsd
Ace	Aca	Npmsg
Acom	Aca	Npmsi
Aci	Aca	Npmsl
Aca	Aca	Npmsn
Aca	Aca	Npmsv
Acić	Acić	Npfpa
Acić	Acić	Npfpd
Acić	Acić	Npfpg
Acić	Acić	Npfpi
Acić	Acić	Npfpl
Acić	Acić	Npfpn
Acić	Acić	Npfpv
Acić	Acić	Npfsa
Acić	Acić	Npfsd
Acić	Acić	Npfsg
Acić	Acić	Npfsi
Acić	Acić	Npfsl
Acić	Acić	Npfsn
Acić	Acić	Npfsv
Aciće	Acić	Npmpa
Acićima	Acić	Npmpd
Acića	Acić	Npmpg
Acićima	Acić	Npmpi
Acićima	Acić	Npmpl
Acići	Acić	Npmpn
Acići	Acić	Npmpv
Acića	Acić	Npmsay
Aciću	Acić	Npmsd
Acića	Acić	Npmsg
Acićem	Acić	Npmsi
Aciću	Acić	Npmsl
Acić	Acić	Npmsn
Aciću	Acić	Npmsv
Acu	Aco	Npmsay
Aci	Aco	Npmsd
Ace	Aco	Npmsg
Acom	Aco	Npmsi
Aci	Aco	Npmsl
Aco	Aco	Npmsn
Aco	Aco	Npmsv
Adu	Ada	Npnsa
Adi	Ada	Npnsd
Ade	Ada	Npnsg
Adom	Ada	Npnsi
Adi	Ada	Npnsl
Ada	Ada	Npnsn
Ado	Ada	Npnsv
Adama	Adam	Npmsay
Adamu	Adam	Npmsd
Adama	Adam	Npmsg
Adamom	Adam	Npmsi
Adamu	Adam	Npmsl
